1900	None
1901	None
1902	None
1903	None
1904	None
1905	None
1906	None
1907	None
1908	None
1909	None
1910	None
1911	None
1912	None
1913	None
1914	None
1915	None
1916	None
1917	None
1918	None
1919	None
1920	None
1921	None
1922	None
1923	None
1924	None
1925	None
1926	None
1927	None
1928	None
1929	None
1930	None
1931	None
1932	None
1933	None
1934	None
1935	None
1936	None
1937	None
1938	None
1939	None
1940	None
1941	None
1942	None
1943	None
1944	None
1945	None
1946	None
1947	None
1948	None
1949	None
1950	None
1951	None
1952	None
1953	None
1954	None
1955	None
1956	None
1957	None
1958	None
1959	None
1960	None
1961	None
1962	None
1963	None
1964	None
1965	None
1966	None
1967	None
1968	None
1969	None
1970	None
1971	None
1972	None
1973	None
1974	None
1975	None
1976	None
1977	Infinity
1978	Infinity
1979	Infinity
1980	Infinity
1981	Infinity
1982	Infinity
1983	36.926530528227616
1984	17.042878699885684
1985	4.692935534227275
1986	5.058201049348917
1987	4.250139073073333
1988	4.009288998306216
1989	3.4850800452322064
1990	3.253575005143017
1991	3.77478174060908
1992	4.100466197563607
1993	3.9022044493907906
1994	3.8549333648336073
1995	4.0647031600293
1996	4.228498006781376
1997	4.626411882779704
1998	4.413882277470155
1999	4.526014232224952
2000	4.697815299777054
